id,source,data_type,url,date,date_basis,year,reviewer_type,headline,excerpt,excerpt_attribution,text_basis,platform_rating,classification,score,pos_themes,neg_themes,contentment_points,contentment_contribution,included,role_match,rationale,note,collected_on
GD-79167149,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW79167149.htm,,,,,Work on cutting-edge technology.,,none,Headline only,,Positive,0.6,Learning opportunities,,100,1.852,True,False,Headline praises the work itself.,,2026-09-24
GD-85001657,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW85001657.htm,,,,,Ideal for Remote Jobs,,none,Headline only,,Positive,0.6,Remote work,,100,1.852,True,False,Positive about remote work.,,2026-09-24
GD-85002014,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW85002014.htm,,,,,A legitimate company,,none,Headline only,,Positive,0.5,Trust & legitimacy; Overall satisfaction,,100,1.852,True,False,Affirms legitimacy; mildly positive.,,2026-09-24
GD-85017264,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW85017264.htm,,,,,Great place to work,,none,Headline only,,Positive,0.8,Overall satisfaction,,100,1.852,True,False,Unqualified praise.,,2026-09-24
GD-85074601,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW85074601.htm,,,,,About Mercor,,none,Headline only,,Insufficient text,,,,,,False,False,Headline carries no evaluative content; no attributable body text.,,2026-09-24
GD-85100833,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW85100833.htm,,,,,Good Company,,none,Headline only,,Positive,0.6,Overall satisfaction,,100,1.852,True,False,Positive overall.,,2026-09-24
GD-85312023,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW85312023.htm,,,,,"Great Company, Great People!",,none,Headline only,,Positive,0.9,Coworker relationships; Overall satisfaction,,100,1.852,True,False,Strong praise of company and people.,,2026-09-24
GD-85315989,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW85315989.htm,,,,,Amazing work culture,,none,Headline only,,Positive,0.9,Culture,,100,1.852,True,False,Strong praise of culture.,,2026-09-24
GD-85320274,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW85320274.htm,,,,,"Great company, and you get to work on the latest technology",,none,Headline only,,Positive,0.8,Learning opportunities; Overall satisfaction,,100,1.852,True,False,Praise of company and technical exposure.,,2026-09-24
GD-87967235,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW87967235.htm,,,,Time Pass (job title as listed),Worst software ever,,none,Headline only,,Negative,-0.8,,Tools & platform,0,0.0,True,False,Strongly negative about the platform software.,,2026-09-24
GD-89697245,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW89697245.htm,2024-08-01,Search-index summary,2024,"AI Prompt Engineer (current, <1 yr)",They dont pay and are scaming people,"Pros: ""They are scam and wasting people's time"". Cons: ""NO cons just wasting time"".",specific,Headline + search excerpt,,Negative,-1.0,,Compensation; Trust & legitimacy,0,0.0,True,False,Alleges non-payment and scam; excerpt consistent.,,2026-09-24
GD-92147192,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW92147192.htm,,,,,-,,none,Headline only,,Insufficient text,,,,,,False,False,Headline is a placeholder dash; no attributable body text.,,2026-09-24
GD-92685596,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW92685596.htm,,,,,Poor communication and onboarding process,,none,Headline only,,Negative,-0.7,,Communication; Organization & process,0,0.0,True,False,Complains about communication and onboarding.,,2026-09-24
GD-93715362,Glassdoor,Individual review,https://www.glassdoor.com.au/Reviews/Employee-Review-Mercor-E9031572-RVW93715362.htm,,,,Intelligence Engineer,Intelligence Engineer Review,,none,Headline only,,Insufficient text,,,,,,False,False,Headline is a job title only.,,2026-09-24
GD-94464014,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW94464014.htm,,,,,Review,,none,Headline only,,Insufficient text,,,,,,False,False,Headline carries no evaluative content.,,2026-09-24
GD-94553647,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW94553647.htm,,,,,There's no company as amazing as Mercor!,,none,Headline only,,Positive,1.0,Overall satisfaction,,100,1.852,True,False,Superlative praise.,,2026-09-24
GD-95294235,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW95294235.htm,2025-02-24,Glassdoor saved page,2025,"Finance expert (current employee, less than 1 year)",Great company,,conflicting,Headline only,,Positive,0.9,Compensation; Coworker relationships; Overall satisfaction,,100,1.852,True,True,"Headline is plainly positive. Two searches returned conflicting body summaries for this review (one strongly positive with a 5-star rating, one 'above average' citing poor communication and disorganization), so neither body nor rating is used.","Conflicting body summaries across searches; classified from headline only, rating left blank.",2026-09-24
GD-95878450,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW95878450.htm,,,,,Nice Work Environment,,none,Headline only,,Positive,0.6,Culture,,100,1.852,True,False,Positive about environment.,,2026-09-24
GD-95912929,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW95912929.htm,,,,,Scam,,conflicting,Headline only,,Negative,-0.9,,Trust & legitimacy,0,0.0,True,False,"Headline alleges a scam. A positive body excerpt was returned for this URL, but the identical excerpt was also returned for RVW102492938, so it is not attributable and was not used.",Search summary attached a positive 'AI Evaluator' body to this review and to another; treated as unverified.,2026-09-24
GD-96104121,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW96104121.htm,,,,,Communication is Nonexistent,,none,Headline only,,Negative,-0.8,,Communication,0,0.0,True,False,Strongly negative on communication.,,2026-09-24
GD-96745147,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW96745147.htm,,,,,Flexible remote work,,none,Headline only,,Positive,0.6,Remote work; Work-life balance,,100,1.852,True,False,Praises flexibility and remote setup.,,2026-09-24
GD-97203983,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW97203983.htm,,,,,Good Experience,,none,Headline only,,Positive,0.6,Overall satisfaction,,100,1.852,True,False,Positive overall.,,2026-09-24
GD-97336597,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW97336597.htm,,,,,Good Contract Experience,"Good pay and hours, very flexible; responsive team quick to answer questions. Cons: sporadic opportunities and occasional lack of consistent communication and feedback.",specific,Headline + search excerpt,4,Positive,0.45,Compensation; Work-life balance; Management,Job security; Communication,100,1.852,True,False,"Positive headline; excerpt praises pay, flexibility and a responsive team but notes sporadic work and inconsistent communication. Net positive.",,2026-09-24
GD-97365185,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW97365185.htm,,,,,Good Attitude and Good Pay,,none,Headline only,,Positive,0.7,Compensation; Culture,,100,1.852,True,False,Praises pay and attitude.,,2026-09-24
GD-97627391,Glassdoor,Individual review,https://www.glassdoor.sg/Reviews/Employee-Review-Mercor-E9031572-RVW97627391.htm,,,,,Great Work Experience,,none,Headline only,,Positive,0.8,Overall satisfaction,,100,1.852,True,False,Strong praise.,,2026-09-24
GD-97802740,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW97802740.htm,,,,,not bad but not good,,none,Headline only,,Mixed/Neutral,0.0,,,50,0.926,True,False,Explicitly neutral.,,2026-09-24
GD-98048107,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW98048107.htm,,,,,Disorganized and constantly changing,Instructions (many dictated by the AI lab client) are poorly defined and change daily; changes communicated only in a very busy Slack channel.,specific,Headline + search excerpt,,Negative,-0.7,,Organization & process; Communication,0,0.0,True,False,Negative on organization; excerpt specific.,,2026-09-24
GD-98945044,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW98945044.htm,,,,,got a contract but then they paused it after a few days,,none,Headline only,,Negative,-0.6,,Job security,0,0.0,True,False,Negative experience of a paused contract.,,2026-09-24
GD-99227341,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW99227341.htm,,,,,Excruciating interview process for contractors,,none,Headline only,,Negative,-0.8,,Organization & process,0,0.0,True,False,Strongly negative about the contractor hiring process.,,2026-09-24
GD-99352676,Glassdoor,Individual review,https://www.glassdoor.com/Reviews/Employee-Review-Mercor-E9031572-RVW99352676.htm,,,,,Seems fine so far,,none,Headline only,,Mixed/Neutral,0.25,,,50,0.926,True,False,"Lukewarm, tentative approval; below positive threshold.",,2026-09-24
